country,ccode,rcode,srcode,cow,xdth,libdem,cpi,stfail,polity5,regime,polsys,fed,elesys,parorg,ctp,ctp1,ctp2,mog,mog6,gdppc,agr,sarsmers,airpm,smoke,sbpsev,prev509,hspbed,age65,temp,hlthsys,ppl,goveff,vax
Morocco,MAR,1,5,600,169.6828336,25.7,40,0,-4,1,NA,1,2,0.8867,NA,NA,NA,Centralized,Centralized,7546.754734,12.14592915,0,54.26376431,0.117218948,10.36794983,1896.680268,0.920379029,7.047830517,18.63283024,30.8,0,-0.11948017,150.021
Mozambique,MOZ,1,3,541,175.8506857,25.4,25,0,5,1,1,0,2,1.0906,NA,NA,52.265,Centralized,Centralized,1281.780014,24.21143333,0,8.502876848,0.140681196,12.59909319,1557.684438,0.702780655,2.408946067,24.3260238,24,0,-0.823048294,93.233
Myanmar,MMR,4,13,775,255.3436022,27.1,28,0,8,1,1,0,0,1.0997,NA,NA,2.7916,Centralized,Centralized,4739.710438,21.35405077,0,25.13455856,0.239038538,7.772908505,3963.725742,0.563304967,5.650287316,25.74058964,19.5,0,-1.149439931,118.637
Namibia,NAM,1,3,565,402.1373128,52.4,51,0,6,2,1,0,2,0.9857,1.9857,101.2707,101.2707,Centripetal,Centripetal,9812.608038,7.110486977,0,25.0112594,0.166926941,8.475413811,2191.495765,2.661365872,3.707843464,21.39390325,16.8,0,0.09591531,38.449
Nepal,NPL,4,12,790,346.0152793,44.6,33,0,7,2,2,2,1,1.2264,0.2264,7.4712,7.4712,Centripetal,Somewhat centripetal,3952.760349,21.58337276,0,49.33032997,0.217723567,4.887466702,3651.03209,0.205126366,6.224883438,20.8454517,37.9,0,-1.045521259,208.633
Netherlands,NLD,6,18,210,262.2005881,82.5,82,0,10,3,2,1,2,1.1489,2.1489,176.2098,176.2098,Centripetal,Centripetal,56784.03725,1.635805696,0,30.34179336,0.227159646,8.423998549,3863.796526,3.92274466,17.9546709,11.18214276,66.7,0,1.803272367,207.4
New Zealand,NZL,4,14,920,-4.400422589,84.6,88,0,10,3,2,0,2,1.125,3.125,275,275,Centripetal,Centripetal,42877.94291,5.653,0,13.40881528,0.167515714,6.453237392,3384.321173,3.027567577,15.95280223,13.49244648,48.9,0,1.670557261,248.256
Nicaragua,NIC,2,7,93,197.407478,6.2,22,0,6,1,0,0,2,1.2001,NA,NA,26.4022,Centralized,Centralized,5451.665386,15.42769854,0,17.36820363,0.131963162,8.885898843,1773.390963,0.908078234,5.433940215,25.45046846,47.5,1,-0.770851433,184.017
Niger,NER,1,4,436,49.126181,38.9,32,0,5,2,1,0,2,0.9494,1.9494,62.3808,62.3808,Centripetal,Centripetal,1224.375135,36.91488244,0,20.49698004,0.076941904,7.843709027,1718.543056,0.209741657,2.35508567,29.0565033,24,0,-0.8012532,29.693
Nigeria,NGA,1,4,475,50.36814473,35.9,25,0,7,2,0,2,0,0.8182,-3.1818,-79.545,-79.545,Decentralized,Decentralized,5135.499469,21.90629593,0,38.56766139,0.040821557,9.966456351,1355.992896,0.945514522,2.751899973,27.28077269,23.4,0,-1.088862658,52.417
North Korea,PRK,4,11,731,NA,1.5,18,0,-10,1,NA,0,0,1.4264,NA,NA,NA,Centralized,Centralized,NA,NA,0,21.72810253,0.241501743,6.737637289,3718.480413,13.0735269,7.193184489,8.654451039,7,0,-1.396964788,NA
North Macedonia,MKD,6,16,343,862.5187124,42.8,35,0,9,2,2,0,2,1.1782,3.1782,111.237,111.237,Centripetal,Centripetal,16773.04057,8.132291394,0,40.90015233,0.392332028,9.385055489,1966.799999,4.387841761,12.5439275,10.78038812,38.3,0,-0.00266395,89.4
Norway,NOR,6,18,385,129.2804319,85.5,84,0,10,3,2,0,2,0.9545,2.9545,248.178,248.178,Centripetal,Centripetal,64385.00599,1.844122213,0,17.27461588,0.18415586,9.245464926,3705.180592,3.904459949,15.85428371,5.364015711,45,0,1.861934543,229.2
Oman,OMN,5,15,698,95.10179758,13.9,54,0,-8,1,NA,0,0,0.6349,NA,NA,NA,Centralized,Centralized,31284.01636,1.994719339,1,62.36802555,0.111571016,11.97866541,1281.207118,1.772946257,1.619236483,26.61875675,28.6,0,0.259041101,138.762
Pakistan,PAK,4,12,770,338.1605944,25,31,0,7,1,2,2,0,1.0325,NA,NA,-29.9925,Centralized,Centralized,4697.726579,21.97285098,0,40.68185522,0.144428051,7.079555397,2598.589482,0.579972931,3.453690461,24.37484706,26.8,0,-0.677135587,150.791
Panama,PAN,2,7,95,215.828675,55.8,35,0,9,2,0,0,1,0.8738,-0.1262,-4.417,-4.417,Decentralized,Somewhat decentralized,31440.26352,2.186921442,0,22.38285413,0.084994068,7.029369984,1584.030781,2.058228248,8.284833696,25.82659261,55,0,0.064511821,202.102
Papua New Guinea,PNG,4,14,910,31.88214199,33.6,27,0,5,1,2,0,0,0.7266,NA,NA,19.6182,Centralized,Centralized,4293.129619,16.97614342,0,6.779767011,0.295372982,4.535679221,3110.767338,3.94808156,2.990071225,23.68662073,16.1,0,-0.809174836,5.712
Paraguay,PRY,2,8,150,363.5431912,42.6,28,0,9,2,0,0,2,0.7891,0.7891,22.0948,22.0948,Centripetal,Somewhat centripetal,12615.52865,9.999861298,0,15.03858632,0.165001581,7.465973654,1741.947408,1.146052357,6.007877705,23.22117291,40,0,-0.534344256,133.732
Peru,PER,2,8,135,588.242443,69.1,38,0,9,3,0,1,2,0.8804,-0.1196,-4.5448,-4.5448,Decentralized,Somewhat decentralized,12853.69207,6.746179552,0,30.98307737,0.056856326,5.133573807,1250.730659,1.390927374,7.69052578,17.19216736,71.7,0,-0.06787055,263.945
Philippines,PHL,4,13,840,220.3089572,28,34,0,8,1,0,0,1,0.8759,NA,NA,-4.2194,Centralized,Centralized,8914.723798,8.820323747,1,18.30235087,0.247159122,5.81097453,2369.234429,0.646802084,4.293182249,26.58083027,46.5,1,0.052008402,155.149
Poland,POL,6,16,290,474.8645422,48.7,56,0,10,2,1,0,2,1.0239,2.0239,113.3384,113.3384,Centripetal,Centripetal,33185.15813,2.316720006,0,39.57902381,0.280590113,8.286489957,2210.298523,6.125163884,14.56056312,9.186247738,52.7,1,0.534801006,152.9
